Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
PSA,2018-02-20T16:00:00,2.75,2.726,0.9,2017-11-21T16:00:00,2018-04-04T16:00:00
PSX,2018-02-02T16:00:00,1.07,0.877,22,2017-11-06T16:00:00,2018-03-19T16:00:00
PVH,2017-03-22T16:00:00,1.23,1.192,3.2,2016-12-22T16:00:00,2017-05-04T16:00:00
PWR,2018-02-22T16:00:00,0.45,0.441,2,2017-11-24T16:00:00,2018-04-06T16:00:00
PX,2018-01-25T16:00:00,1.52,1.48,2.7,2017-10-27T16:00:00,2018-03-09T16:00:00
PXD,2018-02-06T16:00:00,1.22,0.86,41.9,2017-11-08T16:00:00,2018-03-21T16:00:00
PYPL,2018-01-31T16:00:00,0.55,0.52,5.8,2017-11-02T16:00:00,2018-03-15T16:00:00
QCOM,2017-11-01T16:00:00,0.92,0.823,11.8,2017-08-08T16:00:00,2017-12-14T16:00:00
QRVO,2017-05-03T16:00:00,0.85,0.808,5.2,2017-02-06T16:00:00,2017-06-15T16:00:00
RCL,2018-01-24T16:00:00,1.34,1.205,11.2,2017-10-26T16:00:00,2018-03-08T16:00:00
RE,2018-02-05T16:00:00,13.48,5.29,154.8,2017-11-07T16:00:00,2018-03-20T16:00:00
REG,2018-02-08T16:00:00,0.92,0.916,0.4,2017-11-10T16:00:00,2018-03-23T16:00:00
REGN,2018-02-08T16:00:00,5.23,4.575,14.3,2017-11-10T16:00:00,2018-03-23T16:00:00
RF,2018-01-19T16:00:00,0.34,0.26,30.8,2017-10-23T16:00:00,2018-03-05T16:00:00
RHI,2018-01-30T16:00:00,0.65,0.63,3.2,2017-11-01T16:00:00,2018-03-14T16:00:00
RHT,2017-03-27T16:00:00,0.61,0.608,0.3,2016-12-28T16:00:00,2017-05-09T16:00:00
RJF,2017-10-25T16:00:00,1.47,1.323,11.1,2017-08-01T16:00:00,2017-12-07T16:00:00
RL,2017-05-18T16:00:00,0.89,0.778,14.4,2017-02-22T16:00:00,2017-06-30T16:00:00
RMD,2017-08-01T16:00:00,0.77,0.744,3.5,2017-05-05T16:00:00,2017-09-13T16:00:00
ROK,2017-11-08T16:00:00,1.69,1.717,-1.6,2017-08-15T16:00:00,2017-12-21T16:00:00
ROP,2018-02-02T16:00:00,2.7,2.608,3.5,2017-11-06T16:00:00,2018-03-19T16:00:00
ROST,2017-02-28T16:00:00,0.77,0.754,1.9,2016-11-30T16:00:00,2017-04-11T16:00:00
RRC,2018-02-27T16:00:00,0.22,0.166,32.5,2017-11-29T16:00:00,2018-04-11T16:00:00
RSG,2018-02-08T16:00:00,0.61,0.57,7,2017-11-10T16:00:00,2018-03-23T16:00:00
RTN,2018-01-25T16:00:00,1.94,2.037,-4.8,2017-10-27T16:00:00,2018-03-09T16:00:00
SBAC,2018-02-26T16:00:00,1.43,1.53,-6.5,2017-11-28T16:00:00,2018-04-10T16:00:00
SBUX,2017-11-02T16:00:00,0.55,0.546,0.7,2017-08-09T16:00:00,2017-12-15T16:00:00
SCG,2018-02-22T16:00:00,1.01,0.813,24.2,2017-11-24T16:00:00,2018-04-06T16:00:00
SCHW,2018-01-17T16:00:00,0.44,0.415,5.8,2017-10-19T16:00:00,2018-03-01T16:00:00
SEE,2018-02-08T16:00:00,0.58,0.576,0.7,2017-11-10T16:00:00,2018-03-23T16:00:00
SHW,2018-01-25T16:00:00,3.16,3.162,-0.1,2017-10-27T16:00:00,2018-03-09T16:00:00
SIVB,2018-01-25T16:00:00,2.83,2.557,10.5,2017-10-27T16:00:00,2018-03-09T16:00:00
SJM,2017-06-08T16:00:00,1.8,1.722,4.5,2017-03-14T16:00:00,2017-07-21T16:00:00
SLB,2018-01-19T16:00:00,0.48,0.442,8.6,2017-10-23T16:00:00,2018-03-05T16:00:00
SLG,2018-01-24T16:00:00,1.6,1.603,-0.2,2017-10-26T16:00:00,2018-03-08T16:00:00
SNA,2018-02-08T16:00:00,2.69,2.655,1.3,2017-11-10T16:00:00,2018-03-23T16:00:00
SNPS,2017-11-29T16:00:00,0.69,0.573,20.4,2017-09-05T16:00:00,2018-01-12T16:00:00
SO,2018-02-21T16:00:00,0.51,0.462,10.4,2017-11-22T16:00:00,2018-04-05T16:00:00
SPG,2018-01-31T16:00:00,3.12,3.116,0.1,2017-11-02T16:00:00,2018-03-15T16:00:00
SPGI,2018-02-06T16:00:00,1.85,1.613,14.7,2017-11-08T16:00:00,2018-03-21T16:00:00
SRCL,2018-02-21T16:00:00,1,1.138,-12.1,2017-11-22T16:00:00,2018-04-05T16:00:00
SRE,2018-02-27T16:00:00,1.54,1.411,9.1,2017-11-29T16:00:00,2018-04-11T16:00:00
STI,2018-01-19T16:00:00,1.09,1.051,3.7,2017-10-23T16:00:00,2018-03-05T16:00:00
STT,2018-01-23T16:00:00,1.83,1.699,7.7,2017-10-25T16:00:00,2018-03-07T16:00:00
STX,2017-07-25T16:00:00,0.65,0.98,-33.7,2017-04-28T16:00:00,2017-09-06T16:00:00
STZ,2017-04-06T16:00:00,1.48,1.364,8.5,2017-01-10T16:00:00,2017-05-19T16:00:00
SWK,2018-01-24T16:00:00,2.18,2.147,1.5,2017-10-26T16:00:00,2018-03-08T16:00:00
SWKS,2017-11-06T16:00:00,1.82,1.752,3.9,2017-08-11T16:00:00,2017-12-19T16:00:00
SYF,2018-01-19T16:00:00,0.7,0.637,9.9,2017-10-23T16:00:00,2018-03-05T16:00:00
SYK,2018-01-30T16:00:00,1.96,1.964,-0.2,2017-11-01T16:00:00,2018-03-14T16:00:00
SYMC,2017-05-10T16:00:00,0.28,0.283,-1.1,2017-02-13T16:00:00,2017-06-22T16:00:00
SYY,2017-08-14T16:00:00,0.72,0.715,0.7,2017-05-18T16:00:00,2017-09-26T16:00:00
T,2018-01-31T16:00:00,0.78,0.651,19.8,2017-11-02T16:00:00,2018-03-15T16:00:00
TAP,2018-02-14T16:00:00,0.62,0.568,9.2,2017-11-16T16:00:00,2018-03-29T16:00:00
TDG,2017-11-09T16:00:00,3.48,3.411,2,2017-08-16T16:00:00,2017-12-22T16:00:00
TEL,2017-11-01T16:00:00,1.25,1.156,8.1,2017-08-08T16:00:00,2017-12-14T16:00:00
TGT,2017-02-28T16:00:00,1.45,1.508,-3.8,2016-11-30T16:00:00,2017-04-11T16:00:00
TIF,2017-03-17T16:00:00,1.45,1.384,4.8,2016-12-19T16:00:00,2017-05-01T16:00:00
TJX,2017-02-22T16:00:00,1.03,1.002,2.8,2016-11-23T16:00:00,2017-04-05T16:00:00
TMK,2018-02-07T16:00:00,1.24,1.227,1.1,2017-11-09T16:00:00,2018-03-22T16:00:00
TMO,2018-01-31T16:00:00,2.79,2.664,4.7,2017-11-02T16:00:00,2018-03-15T16:00:00
TPR,2017-08-15T16:00:00,0.5,0.495,1,2017-05-19T16:00:00,2017-09-27T16:00:00
TRIP,2018-02-14T16:00:00,0.06,0.14,-57.1,2017-11-16T16:00:00,2018-03-29T16:00:00
TROW,2018-01-30T16:00:00,1.52,1.459,4.2,2017-11-01T16:00:00,2018-03-14T16:00:00
TRV,2018-01-23T16:00:00,2.28,1.502,51.8,2017-10-25T16:00:00,2018-03-07T16:00:00
TSCO,2018-01-31T16:00:00,0.91,0.871,4.5,2017-11-02T16:00:00,2018-03-15T16:00:00
TSN,2017-11-13T16:00:00,1.43,1.363,4.9,2017-08-18T16:00:00,2017-12-27T16:00:00
TSS,2018-01-23T16:00:00,0.82,0.785,4.5,2017-10-25T16:00:00,2018-03-07T16:00:00
TTWO,2017-05-23T16:00:00,0.71,0.568,25,2017-02-27T16:00:00,2017-07-06T16:00:00
TWX,2018-02-01T16:00:00,2.66,1.439,84.9,2017-11-03T16:00:00,2018-03-16T16:00:00
TXN,2018-01-23T16:00:00,1.09,1.085,0.5,2017-10-25T16:00:00,2018-03-07T16:00:00
TXT,2018-01-31T16:00:00,0.74,0.771,-4,2017-11-02T16:00:00,2018-03-15T16:00:00
UAA,2018-02-13T16:00:00,0,0.003,-100,2017-11-15T16:00:00,2018-03-28T16:00:00
UAL,2018-01-23T16:00:00,1.4,1.338,4.6,2017-10-25T16:00:00,2018-03-07T16:00:00
UDR,2018-02-06T16:00:00,0.48,0.479,0.2,2017-11-08T16:00:00,2018-03-21T16:00:00
UHS,2018-02-28T16:00:00,2,1.843,8.5,2017-11-30T16:00:00,2018-04-12T16:00:00
ULTA,2017-03-09T16:00:00,2.24,2.135,4.9,2016-12-09T16:00:00,2017-04-21T16:00:00
UNH,2018-01-16T16:00:00,2.59,2.515,3,2017-10-18T16:00:00,2018-02-28T16:00:00
UNM,2018-01-31T16:00:00,1.13,1.076,5,2017-11-02T16:00:00,2018-03-15T16:00:00
UNP,2018-01-25T16:00:00,1.53,1.544,-0.9,2017-10-27T16:00:00,2018-03-09T16:00:00
UPS,2018-02-01T16:00:00,1.67,1.662,0.5,2017-11-03T16:00:00,2018-03-16T16:00:00
URI,2018-01-24T16:00:00,3.34,3.354,-0.4,2017-10-26T16:00:00,2018-03-08T16:00:00
USB,2018-01-17T16:00:00,0.88,0.871,1,2017-10-19T16:00:00,2018-03-01T16:00:00
UTX,2018-01-24T16:00:00,1.6,1.566,2.2,2017-10-26T16:00:00,2018-03-08T16:00:00
V,2017-10-25T16:00:00,0.9,0.847,6.3,2017-08-01T16:00:00,2017-12-07T16:00:00
VAR,2017-10-25T16:00:00,1.09,1.189,-8.3,2017-08-01T16:00:00,2017-12-07T16:00:00
VFC,2018-02-16T16:00:00,1.01,1.019,-0.9,2017-11-20T16:00:00,2018-04-03T16:00:00
VIAB,2017-11-16T16:00:00,0.88,0.855,2.9,2017-08-23T16:00:00,2018-01-02T16:00:00
VLO,2018-02-01T16:00:00,1.16,1.079,7.5,2017-11-03T16:00:00,2018-03-16T16:00:00
VMC,2018-02-16T16:00:00,0.74,0.744,-0.5,2017-11-20T16:00:00,2018-04-03T16:00:00
VNO,2018-02-12T16:00:00,0.8,0.763,4.8,2017-11-14T16:00:00,2018-03-27T16:00:00
VRSK,2018-02-20T16:00:00,1.34,0.779,72,2017-11-21T16:00:00,2018-04-04T16:00:00
VRSN,2018-02-08T16:00:00,0.96,0.97,-1,2017-11-10T16:00:00,2018-03-23T16:00:00
VRTX,2018-01-31T16:00:00,0.61,0.53,15.1,2017-11-02T16:00:00,2018-03-15T16:00:00
VTR,2018-02-09T16:00:00,1.13,1.026,10.1,2017-11-13T16:00:00,2018-03-26T16:00:00
VZ,2018-01-23T16:00:00,0.86,0.884,-2.7,2017-10-25T16:00:00,2018-03-07T16:00:00
WAT,2018-01-23T16:00:00,2.51,2.453,2.3,2017-10-25T16:00:00,2018-03-07T16:00:00
WBA,2017-10-25T16:00:00,1.31,1.211,8.2,2017-08-01T16:00:00,2017-12-07T16:00:00
WDC,2017-07-27T16:00:00,2.93,2.833,3.4,2017-05-02T16:00:00,2017-09-08T16:00:00
WEC,2018-01-31T16:00:00,0.71,0.679,4.6,2017-11-02T16:00:00,2018-03-15T16:00:00
WELL,2018-02-22T16:00:00,1.02,1.048,-2.7,2017-11-24T16:00:00,2018-04-06T16:00:00
WFC,2018-01-12T16:00:00,0.86,1.022,-16.3,2017-10-17T16:00:00,2018-02-27T16:00:00
WHR,2018-01-24T16:00:00,4.1,3.993,2.7,2017-10-26T16:00:00,2018-03-08T16:00:00
WLTW,2018-02-08T16:00:00,2.21,2.1,5.2,2017-11-10T16:00:00,2018-03-23T16:00:00
WM,2018-02-15T16:00:00,0.85,0.832,2.2,2017-11-17T16:00:00,2018-04-02T16:00:00
WMB,2018-02-14T16:00:00,0.2,0.206,-2.9,2017-11-16T16:00:00,2018-03-29T16:00:00
WMT,2017-02-21T16:00:00,1.3,1.29,0.8,2016-11-22T16:00:00,2017-04-04T16:00:00
WRK,2017-11-02T16:00:00,0.87,0.797,9.2,2017-08-09T16:00:00,2017-12-15T16:00:00
WU,2018-02-13T16:00:00,0.41,0.45,-8.9,2017-11-15T16:00:00,2018-03-28T16:00:00
WY,2018-02-02T16:00:00,0.31,0.354,-12.4,2017-11-06T16:00:00,2018-03-19T16:00:00
WYN,2018-02-14T16:00:00,1.47,1.349,9,2017-11-16T16:00:00,2018-03-29T16:00:00
WYNN,2018-01-22T16:00:00,1.4,1.385,1.1,2017-10-24T16:00:00,2018-03-06T16:00:00
XEC,2018-02-14T16:00:00,1.47,1.401,4.9,2017-11-16T16:00:00,2018-03-29T16:00:00
XEL,2018-02-07T16:00:00,0.42,0.426,-1.4,2017-11-09T16:00:00,2018-03-22T16:00:00
XL,2018-02-01T16:00:00,0.45,0.357,26.1,2017-11-03T16:00:00,2018-03-16T16:00:00
XLNX,2017-04-26T16:00:00,0.57,0.541,5.4,2017-01-30T16:00:00,2017-06-08T16:00:00
XOM,2018-02-02T16:00:00,0.88,1.03,-14.6,2017-11-06T16:00:00,2018-03-19T16:00:00
XRAY,2018-03-01T16:00:00,0.82,0.812,1,2017-12-01T16:00:00,2018-04-13T16:00:00
XRX,2018-01-31T16:00:00,1.04,0.961,8.2,2017-11-02T16:00:00,2018-03-15T16:00:00
XYL,2018-02-01T16:00:00,0.76,0.761,-0.1,2017-11-03T16:00:00,2018-03-16T16:00:00
YUM,2018-02-08T16:00:00,0.96,0.795,20.8,2017-11-10T16:00:00,2018-03-23T16:00:00
ZBH,2018-01-30T16:00:00,2.1,2.098,0.1,2017-11-01T16:00:00,2018-03-14T16:00:00
ZION,2018-01-22T16:00:00,0.81,0.732,10.8,2017-10-24T16:00:00,2018-03-06T16:00:00
ZTS,2018-02-15T16:00:00,0.69,0.658,4.9,2017-11-17T16:00:00,2018-04-02T16:00:00
