Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
FE,2018-02-20T16:00:00,0.71,0.683,4,2017-11-21T16:00:00,2018-04-04T16:00:00
FFIV,2017-10-25T16:00:00,2.44,2.205,10.7,2017-08-01T16:00:00,2017-12-07T16:00:00
FIS,2018-02-06T16:00:00,1.36,1.344,1.2,2017-11-08T16:00:00,2018-03-21T16:00:00
FISV,2018-02-07T16:00:00,0.71,0.69,2.2,2017-11-09T16:00:00,2018-03-22T16:00:00
FITB,2018-01-23T16:00:00,0.52,0.477,9,2017-10-25T16:00:00,2018-03-07T16:00:00
FL,2017-02-24T16:00:00,1.37,1.318,3.9,2016-11-28T16:00:00,2017-04-07T16:00:00
FLIR,2018-02-14T16:00:00,0.58,0.552,5.1,2017-11-16T16:00:00,2018-03-29T16:00:00
FLR,2018-02-20T16:00:00,0.7,0.629,11.3,2017-11-21T16:00:00,2018-04-04T16:00:00
FLS,2018-02-15T16:00:00,0.68,0.514,32.3,2017-11-17T16:00:00,2018-04-02T16:00:00
FMC,2018-02-12T16:00:00,1.1,1.046,5.2,2017-11-14T16:00:00,2018-03-27T16:00:00
FOXA,2017-08-09T16:00:00,0.36,0.348,3.4,2017-05-15T16:00:00,2017-09-21T16:00:00
FRT,2018-02-13T16:00:00,1.3,1.465,-11.3,2017-11-15T16:00:00,2018-03-28T16:00:00
FTI,2018-02-21T16:00:00,0.2,0.452,-55.8,2017-11-22T16:00:00,2018-04-05T16:00:00
FTV,2018-02-08T16:00:00,0.82,0.784,4.6,2017-11-10T16:00:00,2018-03-23T16:00:00
GD,2018-01-24T16:00:00,2.5,2.381,5,2017-10-26T16:00:00,2018-03-08T16:00:00
GE,2018-01-24T16:00:00,0.27,0.284,-4.9,2017-10-26T16:00:00,2018-03-08T16:00:00
GGP,2018-02-07T16:00:00,0.48,0.463,3.7,2017-11-09T16:00:00,2018-03-22T16:00:00
GILD,2018-02-06T16:00:00,1.78,1.674,6.3,2017-11-08T16:00:00,2018-03-21T16:00:00
GIS,2017-06-28T16:00:00,0.73,0.711,2.7,2017-04-03T16:00:00,2017-08-10T16:00:00
GLW,2018-01-30T16:00:00,0.49,0.47,4.3,2017-11-01T16:00:00,2018-03-14T16:00:00
GM,2018-02-06T16:00:00,1.65,1.377,19.8,2017-11-08T16:00:00,2018-03-21T16:00:00
GOOGL,2018-02-01T16:00:00,9.7,10.031,-3.3,2017-11-03T16:00:00,2018-03-16T16:00:00
GPC,2018-02-20T16:00:00,1.12,1.12,0,2017-11-21T16:00:00,2018-04-04T16:00:00
GPN,2018-02-15T16:00:00,1.07,1.033,3.6,2017-11-17T16:00:00,2018-04-02T16:00:00
GPS,2017-02-23T16:00:00,0.51,0.51,0,2016-11-25T16:00:00,2017-04-06T16:00:00
GRMN,2018-02-21T16:00:00,0.79,0.755,4.6,2017-11-22T16:00:00,2018-04-05T16:00:00
GS,2018-01-17T16:00:00,5.68,4.901,15.9,2017-10-19T16:00:00,2018-03-01T16:00:00
GT,2018-02-08T16:00:00,0.99,0.783,26.4,2017-11-10T16:00:00,2018-03-23T16:00:00
GWW,2018-01-24T16:00:00,2.94,2.2,33.6,2017-10-26T16:00:00,2018-03-08T16:00:00
HAL,2018-01-22T16:00:00,0.53,0.467,13.5,2017-10-24T16:00:00,2018-03-06T16:00:00
HAS,2018-02-07T16:00:00,2.3,1.811,27,2017-11-09T16:00:00,2018-03-22T16:00:00
HBAN,2018-01-23T16:00:00,0.26,0.262,-0.8,2017-10-25T16:00:00,2018-03-07T16:00:00
HBI,2018-02-08T16:00:00,0.52,0.523,-0.6,2017-11-10T16:00:00,2018-03-23T16:00:00
HCA,2018-01-30T16:00:00,2.13,1.875,13.6,2017-11-01T16:00:00,2018-03-14T16:00:00
HCP,2018-02-13T16:00:00,0.48,0.471,1.9,2017-11-15T16:00:00,2018-03-28T16:00:00
HD,2017-02-21T16:00:00,1.44,1.334,8,2016-11-22T16:00:00,2017-04-04T16:00:00
HES,2018-02-05T16:00:00,-1.01,-0.903,-11.8,2017-11-07T16:00:00,2018-03-20T16:00:00
HIG,2018-02-08T16:00:00,0.81,0.74,9.5,2017-11-10T16:00:00,2018-03-23T16:00:00
HII,2018-02-15T16:00:00,3.11,2.941,5.7,2017-11-17T16:00:00,2018-04-02T16:00:00
HLT,2018-02-14T16:00:00,0.54,0.448,20.5,2017-11-16T16:00:00,2018-03-29T16:00:00
HOG,2018-01-30T16:00:00,0.48,0.455,4.6,2017-11-01T16:00:00,2018-03-14T16:00:00
HOLX,2017-11-08T16:00:00,0.5,0.489,2.2,2017-08-15T16:00:00,2017-12-21T16:00:00
HON,2018-01-26T16:00:00,1.85,1.841,0.5,2017-10-30T16:00:00,2018-03-12T16:00:00
HP,2017-11-16T16:00:00,-0.13,-0.186,30.1,2017-08-23T16:00:00,2018-01-02T16:00:00
HPE,2017-11-21T16:00:00,0.31,0.282,9.9,2017-08-28T16:00:00,2018-01-05T16:00:00
HPQ,2017-11-21T16:00:00,0.44,0.442,-0.5,2017-08-28T16:00:00,2018-01-05T16:00:00
HRB,2017-06-13T16:00:00,3.76,3.531,6.5,2017-03-17T16:00:00,2017-07-26T16:00:00
HRL,2017-11-21T16:00:00,0.41,0.405,1.2,2017-08-28T16:00:00,2018-01-05T16:00:00
HRS,2017-08-01T16:00:00,1.49,1.486,0.3,2017-05-05T16:00:00,2017-09-13T16:00:00
